"Job Title","Job Location","Date","MONTH"
"Data Scientist","Paris, France","2023-06-23 09:02:22","6"
"Senior Data Scientist","United States","2023-09-18 20:03:35","9"
"Data Engineer","Queensland, Australia","2023-10-20 12:17:30","10"
"Business Analyst","Greece","2023-10-09 09:55:12","10"
"Senior Data Engineer","Charlottesville, VA","2023-12-20 20:06:18","12"
"Data Scientist","Columbus, OH","2023-08-13 11:31:44","8"
"Data Analyst","United Kingdom","2023-11-06 10:06:06","11"
"Data Analyst","Paris, France","2023-07-28 17:28:01","7"
"Data Scientist","Anywhere","2023-10-10 10:04:35","10"
"Data Analyst","Hull, UK","2023-07-02 09:35:13","7"
"Data Engineer","Songshan District, Taipei City, Taiwan","2023-02-27 16:12:55","2"
"Data Engineer","United States","2023-10-26 06:56:11","10"
"Senior Data Engineer","Salta, Salta Province, Argentina","2023-08-19 06:10:43","8"
"Business Analyst","Etterbeek, Belgium","2023-11-17 20:56:43","11"
"Data Analyst","Singapore","2023-07-24 08:16:29","7"
"Data Scientist","Hurlburt Field, FL","2023-06-23 15:07:06","6"
"Software Engineer","Cyberjaya, Selangor, Malaysia","2023-03-27 07:32:02","3"
"Data Engineer","Denver, CO","2023-04-03 17:14:45","4"
"Business Analyst","Doncaster, UK","2023-11-05 19:11:23","11"
"Software Engineer","Colombia, Huila, Colombia","2023-09-08 11:24:56","9"
"Data Engineer","Bucharest, Romania","2023-03-01 11:30:59","3"
"Senior Data Analyst","Riyadh Saudi Arabia","2023-01-27 05:37:02","1"
"Data Engineer","Anywhere","2023-03-25 17:25:20","3"
"Data Engineer","London, UK","2023-10-19 13:37:16","10"
"Data Analyst","Fort Sam Houston, TX","2023-01-25 07:01:46","1"
"Data Scientist","Mumbai, Maharashtra, India","2023-01-11 00:27:46","1"
"Software Engineer","San José Province, San José, Costa Rica","2023-11-21 15:37:25","11"
"Data Scientist","Jakarta, Indonesia","2023-07-09 23:30:22","7"
"Data Engineer","Mexico","2023-07-01 06:20:53","7"
"Data Scientist","Jacksonville, FL","2023-06-21 12:05:49","6"
"Data Engineer","Solna, Sweden","2023-02-26 20:27:05","2"
"Data Engineer","Houston, TX","2023-11-21 20:06:36","11"
"Senior Data Engineer","Park Ridge, IL","2022-12-31 06:26:12","12"
"Software Engineer","Wrocław, Poland","2023-04-27 08:25:37","4"
"Data Engineer","Toronto, ON, Canada","2023-07-24 23:13:36","7"
"Data Scientist","Canada","2023-03-22 18:33:19","3"
"Data Analyst","Lisbon, Portugal","2023-04-11 21:22:15","4"
"Data Analyst","Anywhere","2023-10-02 18:48:34","10"
"Data Analyst","Singapore","2023-07-06 07:13:26","7"
"Senior Data Analyst","Dubai - United Arab Emirates","2023-02-19 10:25:23","2"
"Business Analyst","Italy","2023-05-02 23:18:32","5"
