"Job Title","Location","Date","YEAR"
"Data Analyst","Hyderabad, Telangana, India","2023-03-19 06:31:36","2023"
"Data Scientist","United States","2023-12-13 18:05:24","2023"
"Data Analyst","Austin, TX","2023-03-09 21:01:56","2023"
"Senior Data Analyst","Stockholm, Sweden","2023-04-21 15:32:08","2023"
"Senior Data Engineer","Rosslyn, VA","2023-05-28 14:45:09","2023"
"Data Engineer","Madrid, Spain","2023-03-22 07:35:34","2023"
"Data Engineer","Des Moines, IA","2023-03-30 00:54:18","2023"
"Cloud Engineer","Kuwait City, Kuwait","2023-07-30 17:49:18","2023"
"Data Scientist","Stamford, CT","2023-01-15 16:00:20","2023"
"Data Engineer","Anywhere","2023-10-09 07:42:18","2023"
"Data Engineer","Charleston, WV","2023-09-10 07:06:45","2023"
"Data Scientist","Paris, France","2023-06-23 09:02:22","2023"
"Senior Data Scientist","United States","2023-09-18 20:03:35","2023"
"Data Engineer","Queensland, Australia","2023-10-20 12:17:30","2023"
"Business Analyst","Greece","2023-10-09 09:55:12","2023"
"Senior Data Engineer","Charlottesville, VA","2023-12-20 20:06:18","2023"
"Data Scientist","Columbus, OH","2023-08-13 11:31:44","2023"
"Data Analyst","United Kingdom","2023-11-06 10:06:06","2023"
"Data Analyst","Paris, France","2023-07-28 17:28:01","2023"
"Data Scientist","Anywhere","2023-10-10 10:04:35","2023"
"Data Analyst","Hull, UK","2023-07-02 09:35:13","2023"
"Data Engineer","Songshan District, Taipei City, Taiwan","2023-02-27 16:12:55","2023"
"Data Engineer","United States","2023-10-26 06:56:11","2023"
"Senior Data Engineer","Salta, Salta Province, Argentina","2023-08-19 06:10:43","2023"
"Business Analyst","Etterbeek, Belgium","2023-11-17 20:56:43","2023"
"Data Analyst","Singapore","2023-07-24 08:16:29","2023"
"Data Scientist","Hurlburt Field, FL","2023-06-23 15:07:06","2023"
"Software Engineer","Cyberjaya, Selangor, Malaysia","2023-03-27 07:32:02","2023"
"Data Engineer","Denver, CO","2023-04-03 17:14:45","2023"
"Business Analyst","Doncaster, UK","2023-11-05 19:11:23","2023"
"Software Engineer","Colombia, Huila, Colombia","2023-09-08 11:24:56","2023"
"Data Engineer","Bucharest, Romania","2023-03-01 11:30:59","2023"
"Senior Data Analyst","Riyadh Saudi Arabia","2023-01-27 05:37:02","2023"
"Data Engineer","Anywhere","2023-03-25 17:25:20","2023"
"Data Engineer","London, UK","2023-10-19 13:37:16","2023"
"Data Analyst","Fort Sam Houston, TX","2023-01-25 07:01:46","2023"
"Data Scientist","Mumbai, Maharashtra, India","2023-01-11 00:27:46","2023"
"Software Engineer","San José Province, San José, Costa Rica","2023-11-21 15:37:25","2023"
"Data Scientist","Jakarta, Indonesia","2023-07-09 23:30:22","2023"
"Data Engineer","Mexico","2023-07-01 06:20:53","2023"
"Data Scientist","Jacksonville, FL","2023-06-21 12:05:49","2023"
"Data Engineer","Solna, Sweden","2023-02-26 20:27:05","2023"
"Data Engineer","Houston, TX","2023-11-21 20:06:36","2023"
"Senior Data Engineer","Park Ridge, IL","2022-12-31 06:26:12","2022"
"Software Engineer","Wrocław, Poland","2023-04-27 08:25:37","2023"
"Data Engineer","Toronto, ON, Canada","2023-07-24 23:13:36","2023"
"Data Scientist","Canada","2023-03-22 18:33:19","2023"
"Data Analyst","Lisbon, Portugal","2023-04-11 21:22:15","2023"
"Data Analyst","Anywhere","2023-10-02 18:48:34","2023"
"Data Analyst","Singapore","2023-07-06 07:13:26","2023"
"Senior Data Analyst","Dubai - United Arab Emirates","2023-02-19 10:25:23","2023"
"Business Analyst","Italy","2023-05-02 23:18:32","2023"
